text,processed_text
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
I want to return my order,want return order
My charger is not working,charger not work
The delivery is very late,deliveri veri late
I received a damaged product,receiv damag product
I need a refund,need refund
My headphones stopped working,headphon stop work
Where is my parcel,where parcel
The product quality is bad,product qualiti bad
I got the wrong item,got wrong item
Please cancel my order,pleas cancel order
